id,funding_check,funding_check_oi,paper_set
10.1515_econ-2021-0002,NA,"Song, acknowledges the support from the Bank of Korea for the project and the research grant from Hankuk University of Foreign Studies.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2012-44,NA,"Section 3 describes, from an empirical point of view, the research design of a survey on incoming tourism in Sicily (co-funded by the Italian Ministry of University and Research) whose goal is to analyse (among other aspects) tourist mobility in the Island, and to quantify the impacts of tourism mobility in official tourism statistics.

Considering the deficiencies in the official tourism statistics described above, a research group at the University of Palermo, composed mainly of social statisticians, planned a survey covering the whole of Sicily thanks to co-funding by the Italian Ministry of University and Research.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-48,NA,"With a budget of 400 million US Dollars over ten years, CERC, a public-private partnership, has provided funding for collaborative R&D on advanced clean energy technologies involving Chinese and US researchers.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2009-26,NA,"This is supported by empirical research (Loewenstein and Prelec, 1993).",../_papers/economics.rds
10.5018_economics-ejournal.ja.2015-34,NA,"The main proposition of this approach, according to which only the most productive firms enter foreign markets by FDI, the less productive ones export and the least productive companies exclusively serve domestic markets, is widely supported by recent empirical research (for a review, see, e.g., Greenaway and Kneller 2007; Wagner 2011).

In contrast to Switzerland, the questionnaire 7 did not address a representative sample of firms but was sent to all companies whose innovation activities were supported by the Austrian Research Promotion Agency (FFG) at least once in the period 2005-2009.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-39,NA,Some of the research described was supported by the UK Medical Research Council.,../_papers/economics.rds
10.5018_economics-ejournal.ja.2014-28,NA,The paper offers a rigorous analysis of Milton Friedman's parable of the 'helicopter' drop of money -a temporary fiscal stimulus funded through an increase in the stock of fiat base money that is never completely reversed in present discounted value (PDV) terms.,../_papers/economics.rds
10.5018_economics-ejournal.ja.2013-42,NA,"Accordingly, many recent contributions have proposed an analysis of the leverage process both for firms and banks: Adrian and Shin (2008, 2009, 2010) As for the capital structure of firms, almost all previous papers proposing an agent based approach assumed a ""pecking order"" theory (Donaldson, 1961;Myers and Majluf, 1984), according to which, when information is asymmetric, investments are financed first with internal funds, then with debt (if internal funds are not enough), and equity is used as a last resort.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-11,NA,"The results of the paper support the following narrative of the Greek drama: As Greece joined the euro, the level of interest rate dropped to previously unprecedented levels; low interest rates and easy access to foreign capital caused credit financed consumption -public as well as privateto soar.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2008-33,NA,"In this paper we find that the nonstationarity of variables is an issue and that the inflation rate and the wage share are cointegrated over the period 1981-2006, albeit the stability of their relationship is not fully supported by the data in the eighties and first nineties.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2018-63,NA,"The question of the distribution of refugees among host countries, the funding of shelters in host countries near the conflict zones, and the prevention of migrations at the source through economic and social policies all test the capacity of countries to initiate joint action aiming at improving the situation of migrants and potential migrants.",../_papers/economics.rds
TSP_JAI_28511,Funding Statement: The authors received a specific funding with No.,NA,../_papers/journal_on_ai.rds
TSP_JAI_58649,Funding Statement: None.,NA,../_papers/journal_on_ai.rds
TSP_JAI_61437,This work was supported in part by the National Nature Science Foundation of China. Funding Statement: The National Nature Science Foundation of China under Grant 62106186.,NA,../_papers/journal_on_ai.rds
TSP_JAI_69841,"Funding Statement: The author did not receive funding from public, commercial, or non-profit sectors.",NA,../_papers/journal_on_ai.rds
2076076011104661666747030,Funding: This publication was supported by the Open Access Publication Fund of the University of Würzburg.,NA,../_papers/mdpi.rds
20760760111111640770426,Funding: No funds were provided to the author.,NA,../_papers/mdpi.rds
207607601284491693482623,"The present work is defined as multidisciplinary, since, in addition to being situated in the field of Human Resources Development Policies, within the scientific area of Sociology, it is also situated in the framework of Human Rights and Gender Studies due to its theme and population under study.",NA,../_papers/mdpi.rds
207607601363101718263561,"Funding: The authors received no financial support for the research, authorship, and/or publication of this article.",NA,../_papers/mdpi.rds
20760760335141409653557,"Practice in Scotland is supported by a national multi-agency approach known as ""Getting It Right for Every Child"" (GIRFEC) [4].",NA,../_papers/mdpi.rds
2076076054631476356656,Wellesley College provided a faculty research award.,NA,../_papers/mdpi.rds
20760760892651569028211,"In 2018, a DACA recipient earned a Rhodes scholarship from Harvard (Gearty 2018).",NA,../_papers/mdpi.rds
20760760991551599637082,"The study has limitations and its results cannot be generalized, but they do support the request that educational interventions like simulation games, digital and analog ones, should be accompanied by empirical evaluations to enhance their potential and to point out possible design/application failures. Funding: We acknowledge support by the Open Access Publication Funds of the University of Goettingen.",NA,../_papers/mdpi.rds
2076076053261466670673,NA,"Those involved in the organisation worked hard to maintain independence from both government and outside funding.

So we stopped getting funding from outside and relied on the voluntary work of women in our organisation.",../_papers/mdpi.rds
2076076053281467722766,NA,"For instance, around 25% of Canadian communities have adopted Sustainable Community Plans (SCPs) which encompass economic, ecological, and social goals [30], although not all have put implementation strategies in place due to several reasons: capacity-expertise deficit, inability to comprehend and work with the interdisciplinary nature of sustainability, funding shortage, lack of political will, external circumstances, etc.",../_papers/mdpi.rds
2076076013126521732943624,NA,"From this entity, and related to the strategic approach of incorporating analysis parameters into the intervention that allow evidence of the impact that it has on the lives of the women who participate and are supported by the different programs and services, it is incorporated into the standard work procedure of the two areas specifically linked to support women victims of gender violence (psychological support and residential care) using an instrument aimed at collecting information on the subjective perception of well-being that women indicate at the time of joining the intervention.

From this entity, and related to the strategic approach of incorporating analysis parameters into the intervention that allow evidence of the impact that it has on the lives of the women who participate and are supported by the different programs and services, it is incorporated into the standard work procedure of the two areas specifically linked to support women victims of gender violence (psychological support and residential care) using an instrument aimed at collecting information on the subjective perception of well-being that women indicate at the time of joining the intervention.",../_papers/mdpi.rds
2076076054721478086797,NA,Peer-review writing workshops are part of most college writing courses and the use of such workshops within courses is well supported by research.,../_papers/mdpi.rds
2076076012116271699607449,NA,"Without support from managers and head contractors, workers who behave inappropriately towards women will continue to perpetuate a culture of epistemic injustice.

This is especially important when support from men in their workplace is unavailable.",../_papers/mdpi.rds
2076076013126361732700148,NA,2013;Hines and Douglas 2018;Taylor et al. 2022); and the utilization of workplaces as a proactive means to seek support from colleagues (Hogan et al.,../_papers/mdpi.rds
207607601352311713957900,NA,Perceived social support refers to an individual's subjective assessment of the availability and sufficiency of support from their social network (Gülaçtı 2010).,../_papers/mdpi.rds
207607601352311713957900,NA,"Hence, it is plausible to argue that individuals with higher levels of emotion dysregulation might perceive less support from their social networks.",../_papers/mdpi.rds
207607601352741716204463,NA,"Additionally, Adams et al. (2013) link the buildup of knowledge and work experience over time to the fact that older workers often hold high-status positions that provide them with control over job duties, work schedule versatility, and availability of support from the work environment.",../_papers/mdpi.rds
207607601231851679131627,NA,"The funders had no role in the design of the study; in the collection, analyses, or interpretation of data; in the writing of the manuscript; or in the decision to publish the results.",../_papers/mdpi.rds
207607601383881721896242,NA,"The funders had no role in the design of the study; in the collection, analyses, or interpretation of data; in the writing of the manuscript, or in the decision to publish the results.",../_papers/mdpi.rds
207607601231641678674179,NA,"Data Availability Statement: Data available on request due to restrictions, as this is private data from a study funded by the Family Watch Foundation.",../_papers/mdpi.rds
207607601394971727055782,NA,"A literature review by Roozen et al. (2020) discussed a study in which participants were asked to distribute funding to different social services programs. The participants in the Roozen et al. (2020) study distributed much less funding to the FASD programs, which shows that people are far less willing to support and fund FASD services.

This could be due to stigma and the unwillingness of funders and researchers to explore this area because of the discourse that FASD is preventable and therefore the fault of the women who drank during pregnancy (Gomez et al.",../_papers/mdpi.rds
207607601252971683710578,NA,"These findings are supported by Alyammahi's (2019) study, which found that the use of Alef boosted students' interest and engagement in core subjects, motivated them to learn, made learning fun, and increased their independence and self-assurance in their academic abilities.

This study's findings are also supported by Alahmari and Kyei-Blankson (2016), who argue that learning management systems allow teachers to provide feedback to students, guiding them toward better learning outcomes.",../_papers/mdpi.rds
2076076011104731666745629,NA,"These data are supported by the results of other studies, which confirm the connection between adaptation in the cultural environment of the majority with the ethnic indifference identification type (Konstantinov 2017).",../_papers/mdpi.rds
20760760347711413812086,NA,"A systematic review of effectiveness of professional and organizational interventions aimed at improving medical processes, such as documentation or clinical assessments by ED healthcare providers, found that moderate-quality observational studies suggested that education and reminder systems increase clinical knowledge and documentation but these findings were not supported by a multisite randomized trial [43].",../_papers/mdpi.rds
207607607101731537961717,NA,This conclusion is supported by those recent longitudinal studies within the context of UK higher education that have examined 'the whole student lifecycle'.,../_papers/mdpi.rds
207607601362871716882063,NA,"Other studies have also found that formal support systems, such as support from professionals, can help preserve a positive marital relationship (Brien-Bérard and des Rivières-Pigeon 2023; Solomon and Chung 2012), and that good communication and having a previously strong marital foundation based on common expectations can help parents of children with ASD keep their marriage strong (Ramisch et al.",../_papers/mdpi.rds
20760760322271399283336,NA,Whereas some studies reported that adolescents who feel warmth and support from their parents were less likely to use drugs and engage in other violent behavior [30][31][32] others have documented that parental involvement and alcohol use [37] and parental monitoring [5] were not associated with violent behavior.,../_papers/mdpi.rds
2076076072181516963019,NA,"The facts read, ""Over 70% of all full professors in Sweden are men, although women make up the majority of university students,"" ""The majority of Swedish government funding is still awarded to researchers who are men,"" ""Today, men are still more likely than women to become full professors,"" and ""95% of the Nobel Prize Laureates have been men.""",../_papers/mdpi.rds
20760760861771560948405,NA,This research received no external funding.,../_papers/mdpi.rds
2076076010103831634696683,NA,"This research was financed with the grant of the deputy vice-chancellor's office Program for Research and Knowledge Transfer, for the promotion of R&D&I, at the University of Alicante, Modality B: Aids for the financing of R&D&I projects which give rise to a doctoral thesis with an ""Industrial Doctorate"" mention.",../_papers/mdpi.rds
207607601231161677164687,NA,"In addition to the theory and practice of traditional, ""non-caring"" masculinity, and in contrast to these, a new definition of masculinity supported by numerous empirical research experiences-and socially desirable (Connell and Messerschmidt 2005)has been formulated in the literature in recent years (e.g., Hanlon 2012;Elliott 2015;Dermott 2003), which also outlines a new type of father image competing with hegemonic masculinity.",../_papers/mdpi.rds
20760760142631737958413,NA,"Our project's hypotheses around temporal patterns, that the research team believed might point to specific stationary runoff sources, were not supported by the data.",../_papers/mdpi.rds
2076076061131486371969,NA,"Additionally, relying solely on one organization or funding source can threaten sustainability, especially if that grant or organization discontinues their support.",../_papers/mdpi.rds
2025-74256-001,"funded (Canadian data only) by the Canadian Institutes of Health Reseach (CIHR). -original draft, and writing-review and editing.",NA,../_papers/personality_disorders.rds
2025-74268-001,"An item response theory analysis was then conducted, the results of which supported the facet-level findings from the odds ratio and Cochrane-Armitage analyses at the individual item level.",NA,../_papers/personality_disorders.rds
2026-18921-001,funded by the Turkish Ministry of National Education.,NA,../_papers/personality_disorders.rds
2026-10125-002,NA,"This is supported by empirical evidence that WM involves a fronto-parietal brain network that is critically implicated in effortful cognitive reappraisal (Cohen & Ochsner, 2018;Krause-Utz et al., 2020;Ochsner & Gross, 2008;Schweizer et al., 2013).",../_papers/personality_disorders.rds
2026-47898-001,NA,"The strength of effect sizes was evaluated using recently updated guidelines (Funder & Ozer, 2019;Gignac & Szodorai, 2016) based on a meta-analytic review of typical effect sizes found in individual differences research.",../_papers/personality_disorders.rds
2025-13493-001,NA,"Moving forward, we implore researchers and funding agencies to help address this substantial gap, which is both an ethical and practical imperative.",../_papers/personality_disorders.rds
2025-13493-001,NA,"We echo calls (Widiger & Hines, 2022) for research into (and funding for) the development, testing, dissemination, and training in effective treatments for antagonism, and we encourage researchers to borrow and apply elements from existing empirically supported treatments to novel antagonism treatments (e.g., see Sauer-Zavala et al., 2023).",../_papers/personality_disorders.rds
2025-67044-006,NA,"These connections are also supported by empirical research (Krueger et al., 2021;Sellbom et al., 2020).",../_papers/personality_disorders.rds
2026-32723-001,NA,"The association between negative affectivity and AM is supported by research showing a link between overgeneral AM and neuroticism (Kuyken & Dalgleish, 2011), suggesting a potential interaction between emotion and overgeneral AM that could relate, for example, to rumination (Beran et al., 2019).",../_papers/personality_disorders.rds
2025-44289-001,NA,This article was prepared with support from the Vanderbilt Patient Centered Outcomes Research Education and Training Initiative and the Agency for Healthcare Research and Quality (6K12HS022990-04) and by the Vanderbilt University Medical Center Clinical and Translational Science Awards Award UL1TR000445 from the National Center for Advancing Translational Sciences.,../_papers/personality_disorders.rds
journal.pbio.1001026,The school benefits from a tailored science outreach experience and the scientists benefit from the stimulation of sharing research with inquisitive young minds and fulfilling broader impact objectives often required of grant submissions. Ask a Biologist is a forum sponsored by Arizona State University where students can ask scientists questions about biology.,NA,../_papers/plos_biology.rds
journal.pbio.1001642,Asterisks indicate studies sponsored by the US Office of Scientific Research and Development (OSRD).,NA,../_papers/plos_biology.rds
journal.pbio.3001161,"This may include scientists in the same or related fields, editors, patients, educators, and grants officers.",NA,../_papers/plos_biology.rds
journal.pbio.3001495,"We find broad support for theoretical models that both parental care and terrestrial offspring habitat promote the evolution of larger offspring, but the role of parental care is more complex than previously appreciated and depends on the type of care, the stage at which care is provided and the sex of the caring parent.",NA,../_papers/plos_biology.rds
journal.pbio.1001582,NA,"There, funded by the Ford Foundation and working with Chris Polge, he studied the maturation of eggs from various mammalian species in vitro [3].

Lacking public research funding, Steptoe and Edwards founded the private IVF clinic at Bourne Hall near Cambridge in 1980.",../_papers/plos_biology.rds
journal.pbio.3001600,NA,"The few existing frameworks are limited in scope; for instance, the US DURC policies only apply to research on 15 select agents and toxins at federally funded institutions [15,16].",../_papers/plos_biology.rds
journal.pbio.3002820,NA,"Breast tissues from reduction mammoplasties were obtained from the Cooperative Human Tissue Network (CHTN), a program funded by the National Cancer Institute.

Breast tissues from reduction mammoplasties were obtained from the Cooperative Human Tissue Network (CHTN), a program funded by the National Cancer Institute.

Breast tissues from reduction mammoplasties were obtained from the Cooperative Human Tissue Network (CHTN), a program funded by the National Cancer Institute.",../_papers/plos_biology.rds
journal.pbio.0030234,NA,"Other states in the US are struggling to catch up, setting the stage for a patchwork of policies and funding efforts. Promising an impressive US$3 billion in funding for hESC research over the next ten years, “Prop 71” could further complicate an already complex landscape of laws and funding sources (assuming supporters can prevail over legislation that has stalled the measure).

That notion sparked interest from many people unhappy with President Bush's policy, which dictates that no federal funding may be used to work on hESC lines derived after August 2001.

“There's been a little bit of complacency in Europe because of the Bush decree,” says Austin Smith, director of the Institute for Stem Cell Research at the University of Edinburgh (Edinburgh, United Kingdom), and coordinator of EuroStemCell (Edinburgh, United Kingdom), an international consortium for stem cell research funded by the European Union.

California's Proposition 71 calls for US$3 billion of stem cell research funding over 10 years. Unlike the policy dictated by President Bush in August 2001, Prop 71 permits the funding of the derivation of new human embryonic stem cell lines, including via SCNT research (therapeutic cloning).

California's Proposition 71 calls for US$3 billion of stem cell research funding over 10 years. Unlike the policy dictated by President Bush in August 2001, Prop 71 permits the funding of the derivation of new human embryonic stem cell lines, including via SCNT research (therapeutic cloning).

Weissman is most concerned that the considerable monies available could lead to the wasting of funding on sub-par research.

The rules allow research on surplus in vitro fertilization (IVF) embryos using federal funding, and allow SCNT on a case by case basis.

Brustle finds it difficult to conduct collaborations and he finds funding set-up somewhat nonsensical.",../_papers/plos_biology.rds
journal.pbio.0040379,NA,"Because so much recreation would be provided by the biodiversity network, additional recreation funding could potentially contribute to conservation.

Carbon credits applied to forests in California would offer new funding for key elements of the biodiversity network, just as they offer promise in developing nations [85].

Because so much recreation would be provided by the biodiversity network, additional recreation funding could potentially contribute to conservation.

Carbon credits applied to forests in California would offer new funding for key elements of the biodiversity network, just as they offer promise in developing nations [85].",../_papers/plos_biology.rds
journal.pbio.2005264,NA,"Here, our finding that inhibition of macrophage entry to the CNS results in a worse outcome after SCI is supported by work that defines specific beneficial macrophage populations in multiple CNS injury and disease contexts [56–59].",../_papers/plos_biology.rds
journal.pbio.3002876,NA,"This idea is supported by prior work indicating that the orthologs of RBM-26 are part of a highly conserved complex that collaborates with the nuclear RNA exosome to negatively regulate polyadenylated RNA.

This idea is supported by prior work indicating that the orthologs of RBM-26 are part of a highly conserved complex that collaborates with the nuclear RNA exosome to negatively regulate polyadenylated RNA.",../_papers/plos_biology.rds
journal.pbio.3000670,NA,"Regardless of these damning conclusions, the SMT and its variants have maintained their hegemony in academic circles, in the hospital ward, in BigPharma, in the specialized and lay media at large, and, equally important, in study sections of funding agencies, in which short- and long-term future trends in cancer research are decided.",../_papers/plos_biology.rds
journal.pbio.3001821,NA,"While concurring with these prior results, our study suggests that assessing suitability from too few variables might underestimate the dangers of human disturbances on coral reefs, as supported by studies investigating effects of cumulative stressors at a local scale [22–26] and studies on planetary and biodiversity boundaries [27,28].",../_papers/plos_biology.rds
journal.pbio.1000003,NA,"Our in vivo findings are supported by biochemical studies analyzing homodimer-formation of the N-terminal crystallized PER:PER fragment (amino acids 232–599).

Our in vivo findings are supported by biochemical studies analyzing homodimer-formation of the N-terminal crystallized PER:PER fragment (amino acids 232–599).",../_papers/plos_biology.rds
journal.pbio.3001600,NA,"Access is only granted to bona fide researchers with trustworthy funders, and researchers must “have viable plans that maintain public and professional trust, ensure the research is of public benefit, and are methodologically robust” (<https://cprd.com/Data-access>).

However, authors must be incentivised to post to those preprint servers with appropriate review processes, and funders, institutions, and possibly journals, rather than researchers, will likely need to encourage this.

Storing data in approved platforms, posting only to preprint servers with adequate review processes, and preregistration of research with high potential for misuse, for example, could be mandated or encouraged by funders or institutional oversight groups.

Preprints challenge any model relying on review by journals at publication [18], emphasising the need for oversight at other stages in the research life cycle, such as during design and funding.

Many have been proposed, including changing hiring practices to support open data, open materials and preregistration [83–85], open science leaderboards [86], journal scores based on transparency [87], badges acknowledging open science on published papers [88], and assessment of open science practices by funders [89].",../_papers/plos_biology.rds
journal.pbio.1001699,NA,"For example, for many genomic funding agencies and some researchers, adopting WGS into routine clinical care is an explicit aspiration.

Growing commercialization and translation pressures, the need to attract research support in a highly competitive funding environment, and the simple momentum caused by the commitment of a large number of researchers and resources [17] (also known as a ""scientific bandwagon"") [24] can distort public communication on this issue and thus public expectations [25].

By signaling clearly the type of evidence required to support a decision to provide funding to cover the costs of testing and related services, health systems will enable researchers and investors to prioritize alternative research investment opportunities to focus on those that have the greatest value.",../_papers/plos_biology.rds
